[INFO][Wed, 10 Dec 25 10:00:03 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1143][nocodecodegen/mainAction]SELECT IF(COUNT(*) > 0, 1, 0) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_NAME` = 'cms_modules' AND `TABLE_SCHEMA` = DATABASE()

[INFO][Wed, 10 Dec 25 10:00:03 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1077][nocodecodegen/mainAction]DESCRIBE `cms_modules`

[INFO][Wed, 10 Dec 25 10:00:04 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1327][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:00:15 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1013][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:00:21 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1046][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:00:34 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1014][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:00:40 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1007][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:00:43 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1035][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:00:53 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1002][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:01:04 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1010][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:01:10 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1008][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:01:13 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1000][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:01:17 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.0993][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:01:19 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1004][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:01:34 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1001][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:01:37 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1010][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:01:40 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1057][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:01:53 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.0996][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:02:05 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1009][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:02:07 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1027][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:02:23 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1038][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:02:35 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1058][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:02:40 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1021][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:02:49 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1150][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:02:53 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1001][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:02:55 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1083][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:02:57 +0800][55ec7bfa-3859-7abc-97ef-a0e8d270251a][Cli] - [nocodecodegen][Sql][0.1084][nocodecodegen/mainAction]SELECT IF(COUNT(*) > 0, 1, 0) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_NAME` = 'cms_modules' AND `TABLE_SCHEMA` = DATABASE()

[INFO][Wed, 10 Dec 25 10:02:57 +0800][55ec7bfa-3859-7abc-97ef-a0e8d270251a][Cli] - [nocodecodegen][Sql][0.1041][nocodecodegen/mainAction]DESCRIBE `cms_modules`

[INFO][Wed, 10 Dec 25 10:02:57 +0800][55ec7bfa-3859-7abc-97ef-a0e8d270251a][Cli] - [nocodecodegen][Sql][0.1053][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:03:04 +0800][55ec7bfa-3859-7abc-97ef-a0e8d270251a][Cli] - [nocodecodegen][Sql][0.1111][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:03:10 +0800][55ec7bfa-3859-7abc-97ef-a0e8d270251a][Cli] - [nocodecodegen][Sql][0.1002][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

[INFO][Wed, 10 Dec 25 10:03:10 +0800][dfcd50b8-42ad-993a-5f18-ba3880e2a4b5][Cli] - [nocodecodegen][Sql][0.1000][nocodecodegen/mainAction]SELECT `cms_modules`.`module_id`, `cms_modules`.`module_name`, `cms_modules`.`parent_module_id`, `cms_modules`.`is_action`, `cms_modules`.`controller`, `cms_modules`.`action`, `cms_modules`.`modify_username`, `cms_modules`.`system_id`, `cms_modules`.`m_type`, `cms_modules`.`icon`, `cms_modules`.`deleted`, `cms_modules`.`modify_time`, `cms_modules`.`root_path` FROM `cms_modules` WHERE `cms_modules`.`module_id` = :0 LIMIT 1

